# s_m, x_m, y_m, vx_mps
72.3100545,5.6801459,-0.9331769,4.7971763
72.3400462,5.7010843,-0.9117042,4.812191
72.370038,5.7220652,-0.8902731,4.8272212
72.4000297,5.7430875,-0.8688825,4.8422684
72.4300214,5.7641501,-0.8475316,4.8573343
72.4600131,5.785252,-0.8262195,4.8724204
72.4900049,5.806392,-0.8049452,4.8875279
72.5199966,5.827569,-0.7837078,4.9026582
72.5499883,5.848782,-0.7625062,4.9178123
72.5799801,5.8700299,-0.7413396,4.9329914
72.6099718,5.8913115,-0.720207,4.9481962
72.6399635,5.9126259,-0.6991073,4.9633572
72.6699552,5.9339718,-0.6780396,4.978463
72.699947,5.9553483,-0.6570028,4.9935139
72.7299387,5.9767544,-0.6359961,5.0
72.7599304,5.9981888,-0.6150184,5.0
72.7899221,6.0196506,-0.5940687,5.0
72.8199139,6.0411388,-0.573146,5.0
72.8499056,6.0626523,-0.5522493,5.0
72.8798973,6.08419,-0.5313776,5.0
72.9098891,6.105751,-0.51053,5.0
72.9398808,6.1273343,-0.4897054,5.0
72.9698725,6.1489389,-0.4689028,5.0
72.9998642,6.1705637,-0.4481213,5.0
73.029856,6.1922078,-0.4273599,5.0
73.0598477,6.2138702,-0.4066176,5.0
73.0898394,6.23555,-0.3858934,5.0
73.1198311,6.2572462,-0.3651864,5.0
73.1498229,6.2789578,-0.3444955,5.0
73.1798146,6.3006839,-0.3238199,5.0
73.2098063,6.3224236,-0.3031586,5.0
73.2397981,6.344176,-0.2825105,5.0
73.2697898,6.36594,-0.2618748,5.0
73.2997815,6.387715,-0.2412506,5.0
73.3297732,6.4094998,-0.2206368,5.0
73.359765,6.4312937,-0.2000325,5.0
73.3897567,6.4530957,-0.1794369,5.0
73.4197484,6.4749049,-0.1588489,5.0
73.4497401,6.4967205,-0.1382677,5.0
73.4797319,6.5185417,-0.1176923,5.0
73.5097236,6.5403674,-0.0971218,5.0
73.5397153,6.562197,-0.0765553,5.0
73.5697071,6.5840294,-0.0559919,5.0
73.5996988,6.6058639,-0.0354307,5.0
73.6296905,6.6276995,-0.0148707,5.0
73.6596822,6.6495355,0.0056889,5.0
73.689674,6.671371,0.0262491,5.0
73.7196657,6.6932051,0.0468107,5.0
73.7496574,6.7150371,0.0673747,5.0
73.7796491,6.7368659,0.0879418,5.0
73.8096409,6.7586909,0.1085132,5.0
73.8396326,6.7805111,0.1290895,5.0
73.8696243,6.8023258,0.1496717,5.0
73.8996161,6.824134,0.1702608,5.0
73.9296078,6.8459349,0.1908576,5.0
73.9595995,6.8677278,0.2114629,5.0
73.9895912,6.8895116,0.2320777,5.0
