# s_m, x_m, y_m, vx_mps
196.9075592,290.8053659,126.8305086,19.7064755
197.90709,291.6815826,127.3114492,19.557408
198.9066207,292.5575621,127.7928219,19.4078884
199.9061515,293.4332553,128.2747149,19.2578832
200.9056822,294.3086133,128.7572166,19.1073581
201.905213,295.1835868,129.2404152,18.9562776
202.9047437,296.0581264,129.7243987,18.8046056
203.9042745,296.9321824,130.2092551,18.6523047
204.9038053,297.8057047,130.6950723,18.4993363
205.903336,298.678643,131.181938,18.3456607
206.9028668,299.5509467,131.6699398,18.1912371
207.9023975,300.4225648,132.1591652,18.036023
208.9019283,301.2934457,132.6497015,17.8799748
209.901459,302.1635377,133.1416359,17.7230471
210.9009898,303.0327883,133.6350554,17.5651932
211.9005206,303.9011447,134.1300469,17.4063642
212.9000513,304.7685536,134.6266971,17.2465099
213.8995821,305.6349609,135.1250924,17.0855776
214.8991128,306.5003121,135.6253191,16.9235129
215.8986436,307.364552,136.1274633,16.7602589
216.8981743,308.2276248,136.6316109,16.5957563
217.8977051,309.089474,137.1378477,16.4299432
218.8972359,309.9500421,137.6462589,16.2627551
219.8967666,310.8092713,138.1569298,16.0941243
220.8962974,311.6671026,138.6699455,15.9239798
221.8958281,312.5234764,139.1853904,15.7522473
222.8953589,313.3783322,139.7033492,15.5788486
223.8948896,314.2316084,140.223906,15.4037016
224.8944204,315.0832429,140.7471446,15.2267196
225.8939512,315.9331721,141.2731485,15.0478112
226.8934819,316.7813319,141.8020011,14.8668797
227.8930127,317.6276567,142.3337853,14.6838231
228.8925434,318.4720802,142.8685837,14.4985327
229.8920742,319.3145348,143.4064785,14.3108935
230.8916049,320.1549517,143.9475515,14.1207824
231.8911357,320.9932607,144.4918841,13.9280767
232.8906665,321.829395,145.0395596,13.7326612
233.8901972,322.6632556,145.5906441,13.5343772
234.889728,323.4947706,146.1452046,13.3331223
235.8892587,324.3241139,146.7031047,13.1274322
236.8887895,325.1516727,147.2637015,12.9134246
237.8883203,325.9777982,147.8263822,12.6917166
238.887851,326.802817,148.3906837,12.4628884
239.8873818,327.6269326,148.9562956,12.2285241
240.8869125,328.4497985,149.523721,12.0023451
241.8864433,329.26994,150.0950732,11.7865482
242.885974,330.0854099,150.6730671,11.5804343
243.8855048,330.894164,151.2604016,11.3833455
244.8850356,331.6941056,151.8596709,11.1946733
245.8845663,332.4830511,152.4733381,11.0138643
246.8840971,333.2587039,153.1037134,10.8404227
247.8836278,334.0186379,153.7529396,10.6739153
248.8831586,334.7602772,154.4229727,10.5139771
249.8826893,335.4808782,155.1155628,10.3603174
250.8822201,336.1775117,155.8322329,10.2127263
251.8817509,336.8470465,156.5742555,10.0710789
252.8812816,337.486135,157.3426258,9.9353418
253.8808124,338.0911978,158.1380272,9.8055649
254.8803431,338.6584229,158.9608003,9.6818879
255.8798739,339.1837436,159.810873,9.564526
256.8794046,339.6628938,160.6877686,9.4535652
257.8789354,340.091346,161.5903615,9.34993
258.8784662,340.4645123,162.5173711,9.251285
259.8779969,340.7787758,163.4681502,9.1520236
260.8775277,341.0329494,164.4382685,9.0429068
261.8770584,341.226964,165.4216216,8.9216621
262.8765892,341.3612601,166.4138178,8.7903535
263.8761199,341.4399106,167.4087141,8.6393197
264.8756507,341.4779993,168.4000325,8.4299944
