 x_m, y_m, vx_mps
0.0245846,7.2460111,4.8648678
0.0245811,7.2760037,4.8699
0.0245782,7.3059963,4.874912
0.0245759,7.3359889,4.8799038
0.0245743,7.3659816,4.8848755
0.0245735,7.3959742,4.8898273
0.0245734,7.4259669,4.8947592
0.0245742,7.4559596,4.8996715
0.0245758,7.4859523,4.904564
0.0245784,7.515945,4.9094371
0.0245819,7.5459377,4.9142907
0.0245864,7.5759305,4.919125
0.024592,7.6059233,4.9239401
0.0245988,7.6359161,4.9287361
0.0246067,7.6659089,4.933513
0.0246159,7.6959018,4.938271
0.0246264,7.7258947,4.9430102
0.0246382,7.7558876,4.9477306
0.0246515,7.7858806,4.9524325
0.0246662,7.8158736,4.9571157
0.0246826,7.8458661,4.9617805
0.0247005,7.8758586,4.966427
0.02472,7.9058511,4.9710552
0.0247405,7.9358435,4.9756652
0.0247599,7.9658356,4.9802572
0.0247776,7.9958284,4.9848312
0.0247939,8.0258214,4.9893873
0.0248092,8.0558145,4.9939256
0.0248236,8.0858076,4.9984461
0.0248373,8.1158008,5.0029491
0.0248506,8.145794,5.0074345
0.0248633,8.1757871,5.0119024
0.0248754,8.2057801,5.016353
0.0248869,8.2357731,5.0115162
0.0248978,8.2657659,4.9747354
0.0249079,8.2957585,4.9377939
0.0249174,8.325751,4.9006853
0.0249261,8.3557432,4.8634023
0.0249341,8.3857365,4.8259366
0.0249414,8.41573,4.7882793
0.0249481,8.4457236,4.7504208
0.0249542,8.4757171,4.712351
0.02496,8.5057107,4.6740586
0.0249656,8.5357042,4.635532
0.0249711,8.5656977,4.5968374
0.0249769,8.5956911,4.5579623
0.0249832,8.6256844,4.5188371
0.0249897,8.6556777,4.4794946
0.0249958,8.6856708,4.4400046
0.0250012,8.7156638,4.4003481
0.0250052,8.7456567,4.3605057
0.0250075,8.7756495,4.3204579
0.0250077,8.8056422,4.280188
0.0250056,8.8356347,4.2396807
0.025001,8.8656273,4.1989146
0.0249937,8.8956197,4.1578658
0.0249839,8.9256121,4.1165098
0.0249715,8.9556044,4.0748209
0.0249568,8.9855968,4.0327727
0.0249402,9.0155891,3.990338
0.0249222,9.0455815,3.9474886
0.0249034,9.0755739,3.9041954
0.0248846,9.1055664,3.8606626
0.0248667,9.135559,3.8169013
0.0248508,9.1655517,3.772917
0.0248382,9.1955446,3.7287141
0.0248303,9.2255375,3.6842966
0.0248287,9.2555306,3.6396675
0.0248352,9.2855237,3.594829
0.0248516,9.315517,3.5497816
0.0248802,9.3455104,3.5045249
0.0249233,9.3755038,3.4589884
0.0249823,9.4054972,3.4128437
0.0250527,9.4354907,3.3657384
0.0251198,9.4654842,3.3191081
0.0251658,9.4954777,3.2738131
0.025173,9.5254712,3.229749
0.0251242,9.5554645,3.1868129
0.0250028,9.5854575,3.1449898
0.0247917,9.6154497,3.1046864
0.0244694,9.6454408,3.0663677
0.02401,9.6754298,3.0300214
0.023387,9.7054154,2.9955334
0.0225747,9.735396,2.9627953
0.0215482,9.7653694,2.9317039
0.0202834,9.7953331,2.9021611
0.0187571,9.8252839,2.874073
0.0169468,9.855219,2.8473493
0.0148304,9.8851406,2.8218972
0.0123878,9.9150367,2.797635
0.0095991,9.9449017,2.7744848
0.0064454,9.9747294,2.7523722
0.0029087,10.0045132,2.7312268
-0.0010281,10.0342456,2.7109816
-0.0053811,10.0639189,2.6915739
-0.0101657,10.0935244,2.6729449
-0.0153964,10.1230531,2.6550401
-0.0210877,10.1525005,2.6378074
-0.0272529,10.1818561,2.6212004
-0.0339028,10.2111042,2.605182
-0.0410488,10.2402336,2.5897214
-0.0487016,10.2692325,2.5747952
-0.0568712,10.2980888,2.5603878
-0.065567,10.3267897,2.5464921
-0.0747985,10.3553233,2.5331113
-0.0845758,10.3836802,2.5202614
