# x_m,y_m,w_tr_right_m,w_tr_left_m
9.618709677419355,3.027774193548387,0.22,0.22
9.641612903225806,3.0506451612903223,0.22,0.22
9.664193548387097,3.073451612903226,0.22,0.22
9.687096774193549,3.0961935483870966,0.22,0.22
9.71,3.118903225806452,0.22,0.22
9.732903225806451,3.1415483870967744,0.22,0.22
9.755806451612903,3.1641612903225806,0.22,0.22
9.778709677419354,3.186709677419355,0.22,0.22
9.801935483870968,3.2091935483870966,0.22,0.22
9.82516129032258,3.2316129032258067,0.22,0.22
9.848064516129034,3.2538709677419355,0.22,0.22
9.871290322580643,3.2764516129032257,0.22,0.22
9.894516129032258,3.298709677419355,0.22,0.22
9.918064516129032,3.3206451612903227,0.22,0.22
9.941290322580643,3.3429032258064515,0.22,0.22
9.96483870967742,3.3651612903225803,0.22,0.22
9.988064516129032,3.3870967741935485,0.22,0.22
10.011612903225808,3.4090322580645163,0.22,0.22
10.035483870967743,3.430967741935484,0.22,0.22
10.059032258064516,3.452903225806452,0.22,0.22
10.08258064516129,3.4745161290322577,0.22,0.22
10.106451612903228,3.496451612903226,0.22,0.22
10.130322580645162,3.5180645161290323,0.22,0.22
10.154193548387097,3.539677419354839,0.22,0.22
10.178064516129032,3.5612903225806454,0.22,0.22
10.201935483870969,3.5829032258064517,0.22,0.22
10.225806451612904,3.604193548387097,0.22,0.22
10.25,3.625806451612904,0.22,0.22
10.274193548387096,3.647096774193548,0.22,0.22
10.298064516129031,3.6683870967741936,0.22,0.22
10.322258064516127,3.6893548387096775,0.22,0.22
10.346774193548388,3.7106451612903215,0.22,0.22
10.370967741935484,3.731935483870968,0.22,0.22
10.39516129032258,3.752903225806452,0.22,0.22
10.41967741935484,3.773870967741936,0.22,0.22
10.444193548387096,3.794838709677419,0.22,0.22
10.468709677419351,3.8158064516129033,0.22,0.22
10.493225806451614,3.836451612903226,0.22,0.22
10.51774193548387,3.8574193548387097,0.22,0.22
10.54225806451613,3.878064516129032,0.22,0.22
10.567096774193548,3.898709677419355,0.22,0.22
